,State,ACT_Participation_18,ACT_English_18,ACT_Math_18,ACT_Reading_18,ACT_Science_18,ACT_Composite_18,SAT_Participation_18,SAT_Evidence-Based_Reading_and_Writing_18,SAT_Math_18,SAT_Total_18
0,Alaska,33.0,20.8,19.8,20.6,21.6,20.7,43.0,562,544,1106.0
1,Arizona,66.0,19.2,18.2,19.4,19.5,19.2,29.0,577,572,1149.0
2,Arkansas,100.0,19.4,19.1,18.9,19.7,19.4,5.0,592,576,1169.0
3,California,27.0,22.7,22.5,22.5,23.0,22.1,60.0,540,536,1076.0
4,Colorado,30.0,23.9,23.9,23.2,24.4,23.5,100.0,519,506,1025.0
5,Connecticut,26.0,25.6,26.0,24.8,26.1,24.9,100.0,535,519,1053.0
6,Delaware,17.0,23.2,23.7,23.1,24.5,23.4,100.0,505,492,998.0
7,District of Columbia,32.0,23.6,23.7,22.7,24.4,23.0,92.0,497,480,977.0
8,Florida,66.0,19.9,19.2,19.3,21.1,19.5,56.0,550,549,1099.0
9,Georgia,53.0,21.4,20.9,20.7,21.2,21.4,70.0,542,522,1064.0
10,Hawaii,89.0,18.9,18.2,19.0,19.1,19.0,56.0,480,530,1010.0
11,Idaho,36.0,22.3,21.9,21.6,23.2,22.1,100.0,508,493,1001.0
12,Illinois,43.0,23.9,24.1,23.4,24.2,23.4,99.0,513,506,1019.0
13,Indiana,32.0,22.5,21.9,22.3,23.1,22.2,63.0,542,532,1074.0
14,Iowa,68.0,21.8,21.0,21.2,22.5,22.0,3.0,634,631,1265.0
15,Kansas,71.0,21.6,21.0,21.1,22.3,21.5,4.0,633,631,1265.0
16,Kentucky,100.0,20.2,19.9,19.7,20.8,20.1,4.0,630,618,1248.0
17,Louisiana,100.0,19.2,19.0,18.5,19.6,19.1,4.0,615,595,1210.0
18,Maine,7.0,24.0,23.8,23.6,24.7,23.4,99.0,512,501,1013.0
19,Maryland,31.0,22.5,22.1,22.0,23.1,22.2,76.0,545,535,1080.0
20,Massachusetts,25.0,25.5,25.5,25.2,25.9,24.7,80.0,562,563,1125.0
21,Michigan,22.0,24.4,24.5,23.9,24.7,23.9,100.0,511,499,1011.0
22,Minnesota,99.0,21.3,20.2,21.4,21.7,21.4,4.0,643,655,1298.0
23,Mississippi,100.0,18.6,18.2,18.1,18.9,18.6,3.0,630,606,1236.0
24,Missouri,100.0,20.0,19.5,19.7,20.5,20.0,4.0,633,629,1262.0
25,Montana,100.0,20.0,18.7,19.9,20.7,20.0,10.0,606,592,1198.0
26,Nebraska,100.0,20.1,19.4,19.8,20.4,20.1,3.0,629,623,1252.0
27,Nevada,100.0,17.7,16.6,17.8,18.0,17.9,23.0,574,566,1140.0
28,New Hampshire,16.0,25.1,25.1,24.7,25.6,24.4,96.0,535,528,1063.0
29,New Jersey,31.0,23.7,23.8,23.6,24.0,23.0,82.0,547,547,1094.0
30,New Mexico,67.0,19.4,18.3,19.1,20.1,19.7,16.0,552,540,1093.0
31,New York,27.0,24.5,24.2,24.2,24.9,24.2,79.0,534,534,1068.0
32,North Carolina,100.0,19.1,18.0,19.3,19.5,19.2,52.0,554,543,1098.0
33,North Dakota,98.0,20.3,19.1,20.3,20.7,20.5,2.0,640,643,1283.0
34,Ohio,100.0,20.3,19.3,20.3,20.8,20.4,18.0,552,547,1099.0
35,Oklahoma,100.0,19.3,18.4,18.8,20.1,19.4,8.0,541,521,1062.0
36,Oregon,42.0,21.3,20.6,20.9,21.9,21.1,48.0,564,553,1117.0
37,Pennsylvania,20.0,23.5,23.3,23.2,24.0,23.1,70.0,547,539,1086.0
38,Rhode Island,15.0,24.2,24.4,23.6,25.0,23.5,97.0,513,505,1018.0
39,South Carolina,100.0,18.3,17.3,18.2,18.6,18.5,55.0,547,523,1070.0
40,South Dakota,77.0,21.9,20.8,21.6,22.4,22.2,3.0,622,618,1240.0
41,Tennessee,100.0,19.6,19.4,19.1,19.9,19.6,6.0,624,607,1231.0
42,Texas,41.0,20.6,19.6,20.6,21.1,20.8,66.0,520,512,1032.0
43,Utah,100.0,20.4,19.7,19.9,20.9,20.5,4.0,480,530,1010.0
44,Vermont,24.0,24.1,23.9,23.4,24.9,23.8,64.0,565,554,1120.0
45,Virginia,24.0,23.9,23.8,23.3,24.7,23.5,68.0,567,550,1117.0
46,Washington,24.0,22.2,21.4,22.2,22.7,22.0,69.0,543,538,1081.0
47,West Virginia,65.0,20.3,19.8,19.4,21.3,20.4,28.0,513,486,999.0
48,Wisconsin,100.0,20.5,19.8,20.3,20.6,20.8,3.0,641,653,1294.0
49,Wyoming,100.0,20.0,19.0,19.7,20.6,20.3,3.0,633,625,1257.0
